      Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout), 
        Hz,           ,           ,           ,           ,          W,          W,          W,          W,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A, 
 6.913E+05, -5.817E-03, -1.348E-01, -1.200E+00, -1.455E-01,  8.679E-03, -5.251E-02,  8.679E-03,  0.000E+00,  7.304E+01, -4.419E+02,  4.464E+02, -1.019E+03,  4.854E+00, -5.251E-01, -9.902E-02, -6.513E-01,  2.924E-03,  1.050E-02, -1.980E-03, -1.303E-02, 
 6.980E+05, -4.483E-02,  1.388E-01, -2.067E+00, -1.233E-02,  1.016E-02,  3.212E-02,  1.016E-02,  0.000E+00,  2.137E+02,  6.754E+02,  1.127E+01,  1.549E+02,  4.875E+00,  3.212E-01, -2.631E-01,  6.624E-01,  2.508E-03, -6.424E-03, -5.262E-03,  1.325E-02, 
 7.047E+05, -6.788E-03,  6.807E-02,  6.159E+00,  4.817E+00,  2.318E-03, -3.662E-03,  2.318E-03,  0.000E+00,  3.057E+03, -4.828E+03,  2.370E+01,  5.002E+02,  4.976E+00, -3.662E-02, -3.128E-02,  3.390E-01,  4.712E-04,  7.324E-04, -6.257E-04,  6.780E-03, 
 7.114E+05,  7.303E-02,  2.415E-01,  1.592E+00,  1.971E-01,  2.763E-02, -6.241E-02,  2.763E-02,  0.000E+00,  1.287E+02, -2.907E+02,  3.784E+01, -1.628E+02,  4.616E+00, -6.241E-01,  4.879E-01,  1.069E+00,  7.674E-03,  1.248E-02,  9.758E-03,  2.139E-02, 
 7.181E+05,  1.608E-02, -8.615E-02,  6.752E+00, -5.591E+00,  3.782E-03,  3.151E-03,  3.782E-03,  0.000E+00,  3.843E+03,  3.202E+03,  1.139E+01,  2.674E+02,  4.962E+00,  3.151E-02,  8.252E-02, -4.269E-01,  7.662E-04, -6.302E-04,  1.650E-03, -8.539E-03, 
 7.248E+05,  2.232E-03, -1.187E-01, -8.830E-01, -1.106E-01,  6.735E-03, -6.340E-02,  6.735E-03,  0.000E+00,  3.960E+01, -3.728E+02,  1.121E+03,  1.670E+03,  4.848E+00, -6.340E-01, -6.442E-02, -5.767E-01,  3.048E-03,  1.268E-02, -1.288E-03, -1.153E-02, 
 7.315E+05, -6.302E-02,  2.280E-01, -2.375E+00,  9.495E-01,  2.497E-02,  3.285E-02,  2.497E-02,  0.000E+00,  3.272E+02,  4.305E+02,  3.878E+01,  1.759E+02,  4.712E+00,  3.285E-01, -3.719E-01,  1.054E+00,  5.758E-03, -6.571E-03, -7.437E-03,  2.107E-02, 
 7.383E+05,  3.456E-01,  1.052E+00,  4.089E-01,  6.563E-02,  5.782E-02, -1.120E-01,  5.782E-02,  3.469E-18,  8.573E+00, -1.661E+01,  2.214E+02,  1.485E+02,  1.050E+00, -1.120E+00,  1.542E+00,  7.173E-01,  7.901E-02,  2.241E-02,  3.083E-02,  1.435E-02, 
 7.450E+05,  5.122E-03, -1.398E-01,  5.106E-01, -1.786E-02,  8.789E-03,  1.226E-01,  8.789E-03,  0.000E+00,  1.305E+01,  1.821E+02,  6.842E+02,  1.186E+03,  4.575E+00,  1.226E+00,  1.949E-01, -6.336E-01,  8.491E-03, -2.452E-02,  3.898E-03, -1.267E-02, 
 7.517E+05, -2.552E-02,  9.395E-02, -3.577E-01, -8.356E-02,  4.350E-03,  1.216E-01,  4.350E-03,  2.168E-19,  6.747E+00,  1.885E+02,  6.549E+00,  1.856E+02,  4.634E+00,  1.216E+00, -2.325E-01,  4.043E-01,  7.318E-03, -2.432E-02, -4.650E-03,  8.086E-03, 
 7.584E+05, -3.195E-03,  4.470E-02, -3.112E-01, -1.788E-02,  9.799E-04,  7.013E-02,  9.799E-04,  2.711E-20,  4.860E+00,  3.478E+02,  1.950E+01,  7.018E+02,  4.889E+00,  7.013E-01, -4.697E-02,  2.163E-01,  2.212E-03, -1.403E-02, -9.394E-04,  4.326E-03, 
 7.651E+05,  6.458E-02, -1.243E-01,  9.302E-01,  3.295E-01,  9.262E-03,  6.635E-02,  9.262E-03,  0.000E+00,  4.870E+01,  3.489E+02,  4.569E+00,  9.672E+01,  4.812E+00,  6.635E-01,  3.933E-01, -5.554E-01,  3.754E-03, -1.327E-02,  7.865E-03, -1.111E-02, 
 7.718E+05,  6.458E-03, -6.068E-02, -3.921E+00, -1.498E+00,  1.847E-03, -6.973E-03,  1.847E-03,  0.000E+00,  8.810E+02, -3.325E+03,  1.658E+01,  4.690E+02,  4.980E+00, -6.973E-02,  2.793E-02, -3.026E-01,  3.905E-04,  1.395E-03,  5.586E-04, -6.053E-03, 
 7.785E+05, -1.816E-02,  2.382E-01, -8.313E-01,  1.048E-01,  2.387E-02,  1.168E-01,  2.387E-02,  0.000E+00,  3.511E+01,  1.718E+02,  4.046E+02,  4.659E+02,  4.421E+00,  1.168E+00, -3.586E-01,  1.032E+00,  1.157E-02, -2.337E-02, -7.172E-03,  2.064E-02, 
 7.852E+05,  9.037E-03, -4.883E-02,  2.389E-01,  4.124E-02,  1.178E-03,  9.783E-02,  1.178E-03, -5.421E-20,  2.938E+00,  2.441E+02,  3.590E+00,  2.708E+02,  4.788E+00,  9.783E-01,  9.104E-02, -2.249E-01,  4.244E-03, -1.957E-02,  1.821E-03, -4.499E-03, 
 7.919E+05, -6.878E-04, -6.046E-02,  7.860E-01, -4.643E-02,  1.804E-03,  3.785E-02,  1.804E-03,  0.000E+00,  3.100E+01,  6.504E+02,  1.219E+03, -3.910E+03,  4.953E+00,  3.785E-01,  1.948E-02, -2.997E-01,  9.429E-04, -7.571E-03,  3.896E-04, -5.994E-03, 
 7.987E+05, -2.179E-02,  1.323E-01,  9.674E-01,  2.986E-01,  8.532E-03, -6.227E-02,  8.532E-03,  0.000E+00,  5.125E+01, -3.741E+02,  3.216E+01,  2.958E+02,  4.831E+00, -6.227E-01, -2.291E-02,  6.527E-01,  3.371E-03,  1.245E-02, -4.582E-04,  1.305E-02, 
 8.054E+05,  3.412E-03, -4.543E-02,  2.383E-01,  1.529E-02,  9.974E-04,  9.167E-02,  9.974E-04,  5.421E-20,  2.851E+00,  2.620E+02,  1.802E+01,  6.686E+02,  4.815E+00,  9.167E-01,  5.808E-02, -2.156E-01,  3.698E-03, -1.833E-02,  1.162E-03, -4.313E-03, 
