      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout), 
        Hz,          V,          V,          V,          V,           ,           ,          A,          A,          A,          A,           ,           ,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W, 
 1.837E+06,  4.628E+00,  1.311E+00, -2.658E-02,  4.312E-02, -2.872E-03,  1.013E-02,  7.443E-03, -2.623E-02, -5.315E-04,  8.625E-04, -3.576E-02, -1.012E-02,  6.904E-02,  1.764E+02,  6.904E-02,  1.764E+02,  5.132E-05,  1.311E-01,  5.132E-05, -3.388E-21, 
 2.041E+06,  4.699E+00,  1.189E+00, -1.757E-02,  3.248E-02, -1.869E-03,  7.386E-03,  6.024E-03, -2.378E-02, -3.513E-04,  6.497E-04, -2.919E-02, -7.380E-03,  4.532E-02,  1.976E+02,  4.532E-02,  1.976E+02,  2.728E-05,  1.189E-01,  2.728E-05,  0.000E+00, 
 2.245E+06,  4.751E+00,  1.087E+00, -1.206E-02,  2.499E-02, -1.270E-03,  5.550E-03,  4.976E-03, -2.174E-02, -2.413E-04,  4.997E-04, -2.426E-02, -5.546E-03,  3.096E-02,  2.186E+02,  3.096E-02,  2.186E+02,  1.540E-05,  1.087E-01,  1.540E-05,  0.000E+00, 
 2.449E+06,  4.791E+00,  1.000E+00, -8.553E-03,  1.959E-02, -8.926E-04,  4.275E-03,  4.180E-03, -2.001E-02, -1.711E-04,  3.917E-04, -2.047E-02, -4.273E-03,  2.186E-02,  2.394E+02,  2.186E-02,  2.394E+02,  9.136E-06,  1.000E-01,  9.136E-06,  4.235E-22, 
 2.653E+06,  4.822E+00,  9.264E-01, -6.229E-03,  1.561E-02, -6.460E-04,  3.362E-03,  3.561E-03, -1.853E-02, -1.246E-04,  3.123E-04, -1.750E-02, -3.361E-03,  1.588E-02,  2.602E+02,  1.588E-02,  2.602E+02,  5.652E-06,  9.264E-02,  5.652E-06,  0.000E+00, 
 2.857E+06,  4.847E+00,  8.624E-01, -4.643E-03,  1.263E-02, -4.790E-04,  2.692E-03,  3.070E-03, -1.725E-02, -9.286E-05,  2.527E-04, -1.513E-02, -2.691E-03,  1.180E-02,  2.810E+02,  1.180E-02,  2.810E+02,  3.623E-06,  8.624E-02,  3.623E-06, -2.118E-22, 
 3.061E+06,  4.866E+00,  8.065E-01, -3.530E-03,  1.036E-02, -3.627E-04,  2.189E-03,  2.674E-03, -1.613E-02, -7.061E-05,  2.072E-04, -1.320E-02, -2.188E-03,  8.958E-03,  3.017E+02,  8.958E-03,  3.017E+02,  2.395E-06,  8.065E-02,  2.395E-06,  0.000E+00, 
 3.265E+06,  4.883E+00,  7.574E-01, -2.732E-03,  8.593E-03, -2.797E-04,  1.803E-03,  2.350E-03, -1.515E-02, -5.463E-05,  1.719E-04, -1.163E-02, -1.803E-03,  6.920E-03,  3.223E+02,  6.920E-03,  3.223E+02,  1.626E-06,  7.574E-02,  1.626E-06,  0.000E+00, 
 3.469E+06,  4.896E+00,  7.138E-01, -2.146E-03,  7.204E-03, -2.192E-04,  1.503E-03,  2.082E-03, -1.428E-02, -4.293E-05,  1.441E-04, -1.031E-02, -1.503E-03,  5.430E-03,  3.430E+02,  5.430E-03,  3.430E+02,  1.130E-06,  7.138E-02,  1.130E-06,  0.000E+00, 
 3.673E+06,  4.907E+00,  6.749E-01, -1.710E-03,  6.097E-03, -1.742E-04,  1.267E-03,  1.857E-03, -1.350E-02, -3.419E-05,  1.219E-04, -9.209E-03, -1.266E-03,  4.320E-03,  3.635E+02,  4.320E-03,  3.635E+02,  8.020E-07,  6.749E-02,  8.020E-07, -2.647E-23, 
 3.878E+06,  4.917E+00,  6.400E-01, -1.378E-03,  5.205E-03, -1.402E-04,  1.077E-03,  1.666E-03, -1.280E-02, -2.757E-05,  1.041E-04, -8.273E-03, -1.077E-03,  3.480E-03,  3.841E+02,  3.480E-03,  3.841E+02,  5.798E-07,  6.400E-02,  5.798E-07,  0.000E+00, 
