      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai), 
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,           ,           ,           ,           , 
 5.714E+06,  3.355E+00, -9.228E-02,  6.466E-02, -2.768E-01,  3.290E-02,  1.846E-03,  1.293E-03, -5.537E-03,  1.102E-01, -9.228E-03,  5.097E-01, -8.729E+00,  1.617E-03, -5.421E-20,  1.015E+02, -8.498E+00,  2.153E-02, -8.193E-02,  2.977E-02, -1.700E-01, 
 5.918E+06,  3.353E+00, -8.941E-02,  6.049E-02, -2.682E-01,  3.293E-02,  1.788E-03,  1.210E-03, -5.365E-03,  1.103E-01, -8.941E-03,  4.752E-01, -8.430E+00,  1.512E-03,  0.000E+00,  1.014E+02, -8.221E+00,  2.016E-02, -7.945E-02,  2.781E-02, -1.644E-01, 
 6.122E+06,  3.352E+00, -8.671E-02,  5.670E-02, -2.601E-01,  3.296E-02,  1.734E-03,  1.134E-03, -5.203E-03,  1.103E-01, -8.671E-03,  4.442E-01, -8.150E+00,  1.418E-03,  0.000E+00,  1.013E+02, -7.962E+00,  1.891E-02, -7.711E-02,  2.603E-02, -1.592E-01, 
 6.327E+06,  3.351E+00, -8.415E-02,  5.326E-02, -2.525E-01,  3.298E-02,  1.683E-03,  1.065E-03, -5.049E-03,  1.104E-01, -8.415E-03,  4.161E-01, -7.889E+00,  1.331E-03,  5.421E-20,  1.012E+02, -7.718E+00,  1.777E-02, -7.489E-02,  2.442E-02, -1.544E-01, 
 6.531E+06,  3.350E+00, -8.174E-02,  5.011E-02, -2.452E-01,  3.300E-02,  1.635E-03,  1.002E-03, -4.904E-03,  1.104E-01, -8.174E-03,  3.905E-01, -7.644E+00,  1.253E-03, -5.421E-20,  1.011E+02, -7.488E+00,  1.674E-02, -7.279E-02,  2.295E-02, -1.498E-01, 
 6.735E+06,  3.349E+00, -7.945E-02,  4.724E-02, -2.384E-01,  3.302E-02,  1.589E-03,  9.447E-04, -4.767E-03,  1.105E-01, -7.945E-03,  3.673E-01, -7.413E+00,  1.181E-03, -2.711E-20,  1.011E+02, -7.271E+00,  1.578E-02, -7.080E-02,  2.161E-02, -1.454E-01, 
 6.939E+06,  3.348E+00, -7.728E-02,  4.460E-02, -2.319E-01,  3.304E-02,  1.546E-03,  8.919E-04, -4.637E-03,  1.105E-01, -7.728E-03,  3.460E-01, -7.196E+00,  1.115E-03,  0.000E+00,  1.010E+02, -7.066E+00,  1.491E-02, -6.890E-02,  2.039E-02, -1.413E-01, 
 7.143E+06,  3.347E+00, -7.523E-02,  4.217E-02, -2.257E-01,  3.305E-02,  1.505E-03,  8.434E-04, -4.514E-03,  1.105E-01, -7.523E-03,  3.266E-01, -6.992E+00,  1.054E-03,  0.000E+00,  1.010E+02, -6.872E+00,  1.411E-02, -6.710E-02,  1.926E-02, -1.374E-01, 
 7.347E+06,  3.347E+00, -7.327E-02,  3.993E-02, -2.198E-01,  3.307E-02,  1.465E-03,  7.986E-04, -4.396E-03,  1.106E-01, -7.327E-03,  3.087E-01, -6.798E+00,  9.983E-04,  0.000E+00,  1.009E+02, -6.688E+00,  1.336E-02, -6.539E-02,  1.822E-02, -1.338E-01, 
 7.551E+06,  3.346E+00, -7.141E-02,  3.787E-02, -2.142E-01,  3.308E-02,  1.428E-03,  7.573E-04, -4.285E-03,  1.106E-01, -7.141E-03,  2.923E-01, -6.615E+00,  9.467E-04, -2.711E-20,  1.009E+02, -6.514E+00,  1.268E-02, -6.376E-02,  1.727E-02, -1.303E-01, 
